  Quel âge as-tu ?  ,  Situation actuelle   ,  Domaine d’études ou d’activité ?  ,  Niveau d’études   ,  Sais-tu clairement quel métier tu veux faire ?  ,"À quel point te sens-tu perdu(e) concernant ton avenir professionnel ?
Échelle 1–10  ",  Qu’est-ce qui te bloque le plus ?  ,  As-tu déjà passé un test d’orientation ?  ,  As-tu déjà postulé à un stage / job / alternance ?  ,"Si oui, combien de candidatures envoyées environ ?  ",Taux de réponse reçu ,"  Te sens-tu compétent(e) pour rédiger un CV  :
(échelle 1–5)  ","  Te sens-tu compétent(e) pour  rédiger une lettre de motivation :
(échelle 1–5)  ","Te sens-tu compétent(e) pour  adapter ton CV à une offre :
(échelle 1–5)  ","Te sens-tu compétent(e) pour préparer un entretien :
(échelle 1–5)  ",Qu’est-ce qui te semble le plus difficile ?  ,"Penses-tu comprendre  les compétences recherchées  :
(échelle 1–5)  ","Penses-tu comprendre les salaires dans ton domaine  :
(échelle 1–5)  ","Penses-tu comprendre  les débouchés réels :
(échelle 1–5)  ","Penses-tu comprendre  les évolutions possibles de carrière :
(échelle 1–5)  ",Te sens-tu informé(e) sur les métiers émergents ?,Te sens-tu informé(e) sur  les secteurs qui recrutent ? ,"Serais-tu intéressé(e) par une application qui :
- Analyse ton profil et propose des métiers adaptés
- Génère un CV optimisé automatiquement
- Simule des entretiens personnalisés
- Crée un plan d’apprentissage pour atteindre un métier cible",  Quelle fonctionnalité serait la plus utile ?  ,Paierais-tu 5–10€ par mois pour un compte  Premium qui améliore réellement tes chances ?  ,Pourquoi paierais-tu / ne paierais-tu pas ?  ,"  Si tu pouvais résoudre UN seul problème concernant ton avenir pro, ce serait lequel ?  ",Décris en une phrase ton plus grand stress professionnel actuel.  ,  Utilises-tu actuellement :  ,Qu’est-ce qui manque dans les solutions actuelles ?  ,"Si cette application existait demain, l’utiliserais-tu ?  "
24-25,Étudiant(e),Info,BAC+5,J’ai une idée vague,7,"Manque d’information sur les métiers, Manque d’expérience",NON,OUI,Beaucoup,Très faible,3,3,3,2,"Trouver des offres pertinentes, Passer les entretiens, Me démarquer",3,3,3,3,Non,Non,Très intéressé(e),Des entretiens,Non,Manque d’argent,Trouver un cdi,Trouver un cdi,"ChatGPT, LinkedIn",Marché saturé,OUIIIII
21–23,En alternance,Secteur industriel,BAC+5,J’ai une idée vague,4,"Peur de faire le mauvais choix, Manque de confiance, Manque d’expérience",NON,OUI,200,Moyen,3,3,3,2,"Trouver des offres pertinentes, Passer les entretiens, Me démarquer",3,4,4,4,Oui,Oui,Très intéressé(e),simulation d'entretien,Oui,parceque c'est utile ,bien préparer les entretiens,la performance,"ChatGPT, LinkedIn",un outil qui aide pour la recherche d'emploi,OUIIIII
24-25,Salarié(e),Informatique ,BAC+5,J’ai une idée vague,5,Manque d’expérience,NON,OUI,200/300,Très faible,3,3,4,4,"Adapter mon profil aux offres, Comprendre ce que recherchent les recruteurs",3,2,2,3,Non,Non,Peu intéressé(e),La simulation d’entretien ainsi que le plan d’apprentissage ,Non,Par principe ,Les complications au niveau des papiers concernant les étrangers ,L’impression d’avoir mal choisi ,"ChatGPT, LinkedIn, Indeed",De la pertinence ,Oui peut-être
+ 25,En alternance,Statistiques sociales ,BAC+5,J’ai une idée vague,5,"Manque d’information sur les métiers, Peur de faire le mauvais choix",NON,OUI,100,Moyen,3,3,4,3,"Trouver des offres pertinentes, Adapter mon profil aux offres, Passer les entretiens",3,3,3,4,Non,Non,Plutôt intéressé(e),Adaptateurs selon l'offre ,Non,Il ya chatgpt qui m'aide sur ça ,Orientation ,Une mauvaise orientation,"ChatGPT, LinkedIn, Indeed",Proposer une bonne orientation qui est adapté aux souhaits et aux compétences,OUIIIII
21–23,Salarié(e),IA,BAC+5,J’ai une idée vague,3,"Peur de faire le mauvais choix, Manque de confiance, Manque d’expérience",NON,OUI,240,Moyen,2,2,3,2,"Trouver des offres pertinentes, Me démarquer",1,2,2,2,Oui,Oui,Très intéressé(e),Ciblage des metiers adaptés,Oui,"Je paierai car pour ce prix, le levier proposé est bon à prendre. Avec cette application me permettrait d'augmenter de X% mes chances d'avoir un job et donc un salaire. Donc payer 5 à 10e par mois n'est pas beaucoup par rapport au salaire qu'il me permettrait d'obtenir.",Mieux comprendre les enjeux et le quotidien des métiers ciblés,Ne pas être au niveau ,"ChatGPT, LinkedIn","Pas grand chose, juste la concurrence est forte. Sinon elles proposent beaucoup d'offres parfois bien ciblées et il et facile de personnaliser son CV avec les IA",OUIIIII
+ 25,En recherche d’emploi,Data science,BAC+5,J’ai une idée vague,6,"Peur de faire le mauvais choix, Manque de confiance, Pression familiale, Manque d’expérience",NON,OUI,200,Très faible,4,4,4,3,"Trouver des offres pertinentes, Me démarquer, Comprendre ce que recherchent les recruteurs",3,4,4,3,Non,Non,Plutôt intéressé(e),Analyse ton profil et propose des métiers adaptés,Oui,Ca dépend de l'efficacité de l'app en verité mais en vrai je pése que la génération de cv je pourrais m'en passer ,L'incertitude de trouver du boulot,Etre au chômage ,"ChatGPT, LinkedIn, Indeed",Je ne sais pas ,Oui peut-être
24-25,"Étudiant(e), En recherche d’emploi",Data,BAC+5,"Oui, très clairement",7,Manque d’expérience,NON,OUI,Centaine ,Très faible,2,2,2,1,"Adapter mon profil aux offres, Comprendre ce que recherchent les recruteurs",4,4,3,2,Non,Non,Très intéressé(e),Plan d'apprentissage ,Non,Étudiant ,Travail ,Trouvé une alternance ,"ChatGPT, LinkedIn, Indeed",Jsp,OUIIIII
24-25,Salarié(e),Data engineer,BAC+5,"Oui, très clairement",2,Peur de faire le mauvais choix,NON,OUI,120-130,Très faible,1,2,1,2,Passer les entretiens,1,1,3,3,Non,Non,Pas intéressé(e),Plan d’apprentissage parmi celle citées,Non,J’y crois pas ,La sûreté de l’emploi,Ne pas correspondre aux attentes qu’on a de moi,"ChatGPT, LinkedIn",Quelque chose pour automatiser les candidatures ,Oui peut-être
18–20,Étudiant(e),Maths-informatique ,BAC+1,"Non, pas du tout",9,"Manque d’information sur les métiers, Peur de faire le mauvais choix, Manque de confiance, Pression familiale",NON,OUI,30,Très faible,5,5,5,5,"Trouver des offres pertinentes, Adapter mon profil aux offres, Passer les entretiens, Me démarquer, Comprendre ce que recherchent les recruteurs",3,5,5,5,Non,Non,Très intéressé(e),Simulation des entretiens,Peut-être,Intéressée ,Experience,Manque de compétences,"ChatGPT, Indeed",.,OUIIIII
21–23,Salarié(e),Banque,BAC+5,"Oui, très clairement",2,Manque d’expérience,NON,OUI,400,Très faible,4,3,4,3,"Passer les entretiens, Me démarquer",4,4,5,5,Oui,Oui,Peu intéressé(e),Simule des entretiens personnalisés ,Non,"Compliqué de faire des entretiens vraiment personnalisés pour chaque type de job, ça pourrait ne pas correspondre",Le manque d’informations,Les deadlines,"ChatGPT, LinkedIn",Il manque des réels conseils ,Non
